J6Thu		<br>While they were speaking of these things, Jesus himself stood among them|<br>After he had risen from the dead … Jesus himself stood among his disciples
J6Fri		<br>‘Do|<br>The Lord said to his disciples, ‘Do
J6Sat		<br>‘Do|<br>The Lord said to his disciples, ‘Do
J7Sun		<br>When Jesus had said this he raised his eyes to heaven, saying,|<br>At that time Jesus raised his eyes to heaven and  said,
J7Mon		<br>‘Peace|<br>The Lord said to his disciples, ‘Peace
J7Tue		<br>‘They|<br>The Lord said to his disciples, ‘They
J7Wed		<br>‘Everything|<br>The Lord said to his disciples, ‘Everything
J7Thu		<br>‘On that day you will have no questions for me. Truly|<br>The Lord said to his disciples, ‘Truly
J7Fri		<br>‘As|<br>At that time Jesus raised his eyes to heaven and said, ‘As
J7Sat		<br>This was now the third time after being raised from the dead that Jesus was revealed to his disciples. When they had eaten, Jesus said|<br>At that time Jesus was revealed to his disciples after he had risen from the dead. He said
J8Sun		
M1Mon		<br>‘See|<br>The Lord said, ‘See
M1Tue		<br>All|<br>At that time all
M1Wed		<br>‘And I tell you that unless|<br>The Lord said to his disciples, ‘Unless
M1Thu		<br>‘You|<br>The Lord said, ‘You
M1Fri		<br>‘Again, you|<br>The Lord said, ‘You
M1Sat		<br>‘Give|<br>The Lord said, ‘Give
M1Sun		<br>‘Everyone|<br>The Lord said to his disciples, ‘Everyone
M2Mon		<br>‘Do|<br>The Lord said, ‘Do
M2Tue		<br>‘Beware|<br>The Lord said, ‘Beware
M2Wed		<br>‘Not|<br>The Lord said, ‘Not
M2Thu		<br>He|<br>At that time Jesus
M2Fri		<br>Then John’s disciples came to him|<br>At that time John’s disciples came to Jesus
M2Sat		<br>‘Do|<br>The Lord said, ‘Do
M2Sun		<br>He was walking|<br>At that time Jesus was walking
M3Mon		<br>On seeing the crowds, he|<br>At that time, on seeing the crowds, Jesus
M3Tue		<br>‘Do|<br>The Lord said to his disciples, ‘Do
M3Wed		<br>‘Understand|<br>The Lord said to his disciples, ‘Understand
M3Thu		<br>‘When|<br>The Lord said to his disciples, ‘When
M3Fri		<br>‘Everyone|<br>The Lord said to his disciples, ‘Everyone
M3Sat		<br>‘Everyone|<br>The Lord said, ‘Everyone
M3Sun		<br>‘The lamp|<br>The Lord said, ‘The lamp
M4Mon		<br>And when John|<br>At that time when John
M4Tue		<br>‘To|<br>The Lord said, ‘To
M4Wed		<br>Then he|<br>At that time Jesus
M4Thu		<br>‘Everything|<br>The Lord said to his disciples ‘Everything
M4Fri		<br>It was then that Jesus|<br>At that time Jesus
M4Sat		<br>When|<br>At that time when
M4Sun		<br>When he|<br>At that time, when Jesus
M5Mon		<br>Then, moving on from there, he|<br>At that time Jesus
M5Tue		The Pharisees went outside and conspired against him|At that time the Pharisees conspired against Jesus
M5Wed		<br>Then some|<br>At that time some%see a sign from you.’ But he|see a sign from you.’ But Jesus
M5Thu		<br>He|<br>At that time Jesus%. He said, ‘Listen. A sower went out to sow.’<br><br>|.<br><br>
M5Fri		<br>Then he told them many things in parables. He said, ‘Listen. A|<br>The Lord told this parable. ‘A
M5Sat		<br>As Jesus passed on from there|<br>At that time, as Jesus passed by
M5Sun		<br>When he|<br>At that time, when Jesus
M6Mon		<br>Then the disciples came up to him|<br>At that time the disciples came up to Jesus
M6Tue		<br>He set before them another parable. He said,|<br>The Lord told this parable.
M6Wed		<br>He set before them another parable, saying,|<br>The Lord told this parable.
M6Thu		<br>He then|<br>At that time Jesus
M6Fri		<br>‘Again, the|<br>The Lord told this parable. ‘The
M6Sat		<br>He was telling them these things|<br>At that time Jesus was speaking
M6Sun		<br>He|<br>At that time Jesus
M7Mon		<br>and|<br>At that time Jesus
M7Tue		
M7Wed		<br>The men of that district recognised him|<br>At that time the men of Gennesaret recognised Jesus
M7Thu		<br>Then his disciples|<br>At that time Jesus’ disciples
M7Fri		<br>Moving on from there, Jesus|<br>At that time Jesus
M7Sat		<br>‘Anyone|<br>The Lord said, ‘Anyone
M7Sun		<br>As Jesus passed on from there|<br>At that time, as Jesus was walking along
M8Mon		<br>Then the Pharisees and Sadducees came, testing. They demanded that he|<br>At that time the Pharisees and Sadducees came, testing. They demanded that Jesus
M8Tue		<br>Jesus said to them|<br>The Lord said to his disciples
M8Wed		<br>Then he instructed|<br>At that time Jesus instructed
M8Thu		<br>Then Jesus|<br>the Lord
M8Fri		His disciples|At that time Jesus’ disciples
M8Sat		<br>‘Whoever|<br>The Lord said, ‘Whoever
M8Sun		<br>On disembarking, Jesus|<br>At that time Jesus
M9Mon		<br>At that time the|<br>At that time the
M9Tue		<br>‘Truly|<br>The Lord said to his disciples, ‘Truly
